number,available_bikes,available_bikes_stands,last_update
72,6,25,"2021-03-22 13:47:43"
110,17,23,"2021-03-22 13:47:43"
27,7,13,"2021-03-22 13:47:33"
109,17,12,"2021-03-22 13:47:22"
31,7,13,"2021-03-22 13:47:19"
111,8,32,"2021-03-22 13:47:16"
4,15,5,"2021-03-22 13:47:13"
82,12,10,"2021-03-22 13:47:03"
93,0,35,"2021-03-22 13:47:00"
11,12,18,"2021-03-22 13:46:59"
51,11,29,"2021-03-22 13:46:58"
49,12,28,"2021-03-22 13:46:58"
106,6,34,"2021-03-22 13:46:56"
75,13,27,"2021-03-22 13:46:53"
69,12,27,"2021-03-22 13:46:48"
24,3,17,"2021-03-22 13:46:47"
55,12,24,"2021-03-22 13:46:44"
92,15,25,"2021-03-22 13:46:39"
43,8,22,"2021-03-22 13:46:38"
80,18,22,"2021-03-22 13:46:33"
36,11,29,"2021-03-22 13:46:23"
100,15,10,"2021-03-22 13:46:17"
7,14,15,"2021-03-22 13:46:10"
48,10,29,"2021-03-22 13:46:09"
90,16,24,"2021-03-22 13:46:05"
6,4,16,"2021-03-22 13:45:52"
8,10,20,"2021-03-22 13:45:50"
89,4,36,"2021-03-22 13:45:46"
77,9,20,"2021-03-22 13:45:38"
34,14,16,"2021-03-22 13:45:28"
103,8,32,"2021-03-22 13:45:23"
108,12,28,"2021-03-22 13:45:23"
71,4,35,"2021-03-22 13:45:19"
3,9,11,"2021-03-22 13:45:16"
5,12,28,"2021-03-22 13:45:12"
91,7,23,"2021-03-22 13:45:08"
116,7,23,"2021-03-22 13:45:02"
87,12,26,"2021-03-22 13:44:51"
13,11,19,"2021-03-22 13:44:47"
56,9,31,"2021-03-22 13:44:42"
57,7,16,"2021-03-22 13:44:37"
10,6,10,"2021-03-22 13:44:37"
68,15,25,"2021-03-22 13:44:33"
79,12,15,"2021-03-22 13:44:33"
17,9,11,"2021-03-22 13:44:31"
48,5,34,"2021-03-22 13:44:26"
59,11,9,"2021-03-22 13:44:26"
115,12,18,"2021-03-22 13:44:18"
73,14,16,"2021-03-22 13:44:16"
113,14,26,"2021-03-22 13:44:05"
38,17,23,"2021-03-22 13:44:02"
99,6,24,"2021-03-22 13:44:01"
12,5,15,"2021-03-22 13:44:00"
26,9,11,"2021-03-22 13:43:56"
102,6,34,"2021-03-22 13:43:43"
30,8,12,"2021-03-22 13:43:41"
2,8,12,"2021-03-22 13:43:25"
62,3,37,"2021-03-22 13:43:21"
7,13,16,"2021-03-22 13:43:18"
63,13,22,"2021-03-22 13:43:17"
67,15,25,"2021-03-22 13:43:11"
98,10,30,"2021-03-22 13:43:10"
114,9,31,"2021-03-22 13:43:05"
78,18,22,"2021-03-22 13:43:01"
97,12,28,"2021-03-22 13:42:59"
96,5,25,"2021-03-22 13:42:57"
112,10,20,"2021-03-22 13:42:56"
87,11,27,"2021-03-22 13:42:52"
53,7,33,"2021-03-22 13:42:44"
31,6,13,"2021-03-22 13:42:41"
64,7,33,"2021-03-22 13:42:37"
83,14,26,"2021-03-22 13:42:28"
61,15,10,"2021-03-22 13:42:25"
69,12,27,"2021-03-22 13:42:25"
52,10,22,"2021-03-22 13:42:21"
42,13,17,"2021-03-22 13:42:17"
56,10,30,"2021-03-22 13:42:11"
88,12,17,"2021-03-22 13:42:09"
40,8,13,"2021-03-22 13:42:03"
92,15,25,"2021-03-22 13:41:59"
