description,temp,temp_min,temp_max,humidity,intervals,number,available_bikes,available_bikes_stands,Day,Bikes_available
scattered clouds,12,10,12,76,2021-03-19 15:30:00,98,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,10,8,8,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,69,7,33,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,103,11,29,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,39,10,10,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,25,15,15,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,91,21,9,Friday,21
scattered clouds,12,10,12,76,2021-03-19 15:30:00,54,10,23,Friday,10
scattered clouds,12,10,12,76,2021-03-19 15:30:00,43,11,19,Friday,11
scattered clouds,12,10,12,76,2021-03-19 15:30:00,13,7,23,Friday,7
scattered clouds,12,10,12,76,2021-03-19 15:30:00,38,13,27,Friday,13
scattered clouds,12,10,12,76,2021-03-19 15:30:00,62,6,34,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,95,17,23,Friday,17
scattered clouds,12,10,12,76,2021-03-19 15:30:00,4,8,12,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,88,12,18,Friday,12
scattered clouds,12,10,12,76,2021-03-19 15:30:00,83,16,24,Friday,16
scattered clouds,12,10,12,76,2021-03-19 15:30:00,68,18,22,Friday,18
scattered clouds,12,10,12,76,2021-03-19 15:30:00,117,0,40,Friday,0
scattered clouds,12,10,12,76,2021-03-19 15:30:00,57,6,17,Friday,6
scattered clouds,12,10,12,76,2021-03-19 15:30:00,9,20,4,Friday,20
scattered clouds,12,10,12,76,2021-03-19 15:30:00,19,15,15,Friday,15
scattered clouds,12,10,12,76,2021-03-19 15:30:00,75,8,32,Friday,8
scattered clouds,12,10,12,76,2021-03-19 15:30:00,104,9,31,Friday,9
scattered clouds,12,10,12,76,2021-03-19 15:30:00,79,14,13,Friday,14
