number,available_bikes,available_bikes_stands,intervals,description,temp,temp_min,temp_max,humidity,Day,Stands_available
4,11,9,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,9
105,11,25,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,25
33,9,14,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,14
98,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,34
42,12,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,18
57,6,17,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,17
117,0,40,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,40
83,16,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,24
77,13,16,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,16
88,12,18,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,18
114,3,37,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,37
62,6,34,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,34
96,8,22,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,22
48,7,33,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,33
103,11,29,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,29
80,16,24,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,24
25,15,15,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,15
43,11,19,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,19
54,10,23,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,23
9,19,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,5
31,15,5,2021-03-19 15:30:00,scattered clouds,12,10,12,76,Friday,5
79,14,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
108,11,29,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,29
19,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
33,10,13,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,13
107,9,31,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,31
45,5,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
99,8,22,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,22
106,19,21,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,21
86,6,32,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,32
15,14,2,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,2
100,20,5,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,5
32,14,16,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,16
10,9,7,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,7
23,10,20,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,20
82,4,18,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,18
21,5,25,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,25
39,10,10,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,10
102,14,26,2021-03-19 15:45:00,few clouds,11,11,12,76,Friday,26
